"answer_id","survey_id","complement","option_id","geometry_id","geom","answer_id-2","tags","option_id-2","question_id","text","type","order","complement-2","text_pt","st_astext"
"5525bbcf-1fee-4e1c-b36d-661a6aa2e9d5","52ffaa8a-01a6-4d03-abf9-2933ba750dce",NULL,"b67af516-b322-419f-b4dd-9330d0f1a49d","90cc0956-3400-4ab5-a713-f12f07331ef2","0103000020E6100000010000000500000038691A14CD4B22C0F261F6B2ED5A434038691A14CD4B22C010E7E104A65B434067D2A6EA1E4922C010E7E104A65B434067D2A6EA1E4922C0F261F6B2ED5A434038691A14CD4B22C0F261F6B2ED5A4340","5525bbcf-1fee-4e1c-b36d-661a6aa2e9d5",NULL,"b67af516-b322-419f-b4dd-9330d0f1a49d","5803c1a4-b4a3-49e1-9e9e-6931dcdc495c","geometries","geometries",1,False,"geometrias","POLYGON((-9.148049 38.710379,-9.148049 38.716004,-9.142814 38.716004,-9.142814 38.710379,-9.148049 38.710379))"
"097f310c-0946-461c-8ac3-4b179c5c58b9","52ffaa8a-01a6-4d03-abf9-2933ba750dce",NULL,"e2b822df-e505-444d-bd77-398b677f3207","3c4e0a1d-a13b-4484-9259-b4dbcae62101","0103000020E610000001000000050000008A1C226E4E4D22C0293C6876DD5F43408A1C226E4E4D22C0168A743FA76043405BB56B425A4322C0168A743FA76043405BB56B425A4322C0293C6876DD5F43408A1C226E4E4D22C0293C6876DD5F4340","097f310c-0946-461c-8ac3-4b179c5c58b9",NULL,"e2b822df-e505-444d-bd77-398b677f3207","bc49a20e-d931-4b77-8536-85ca8b90ee73","geometries","geometries",1,False,"geometrias","POLYGON((-9.150989 38.748946,-9.150989 38.755104,-9.131548 38.755104,-9.131548 38.748946,-9.150989 38.748946))"
"84840a84-96bc-407f-b2b0-b0475b85d492","28b504f6-faba-4289-80fb-3b7642b01116",NULL,"3128e023-9379-4084-abb8-d3c70954048c","984d6a9e-d4a3-4d3b-9093-77973374ec5e","0103000020E61000000100000009000000211FF46C564D22C0B2D826158D5B434012F8C3CF7F4F22C099F1B6D26B5B4340CBF27519FE5322C04C3448C1535A4340C4EE3B86C74E22C0598638D6C55943403EAF78EA914622C01E8CD827805A4340FCC401F4FB4622C03B8C497F2F5B4340A0A70183A44722C0944A7842AF5B434017D522A2984C22C0902E36AD145C4340211FF46C564D22C0B2D826158D5B4340","84840a84-96bc-407f-b2b0-b0475b85d492",NULL,"3128e023-9379-4084-abb8-d3c70954048c","37537e85-47c5-485c-a3db-9597541c59f4","geometries","geometries",1,False,"geometrias","POLYGON((-9.15105 38.715243,-9.155272 38.714228,-9.164048 38.705681,-9.153866 38.70135,-9.137832 38.707036,-9.138641 38.712387,-9.139927 38.716286,-9.149602 38.719381,-9.15105 38.715243))"
"8f138a80-87cf-4026-8bd9-084ce2213dd0","c5941d3a-f21c-4825-98a0-2d11292d7fbc",NULL,"a43a9b48-99f0-4d1b-bd29-31bb5d95ebfa","34ae60c3-606a-4a11-a75b-81b8409ecbba","0103000020E61000000100000005000000B74604E3E04A22C01475E61E125A4340B74604E3E04A22C0145AD6FD635B43401BDA006C404422C0145AD6FD635B43401BDA006C404422C01475E61E125A4340B74604E3E04A22C01475E61E125A4340","8f138a80-87cf-4026-8bd9-084ce2213dd0",NULL,"a43a9b48-99f0-4d1b-bd29-31bb5d95ebfa","c6c0ce09-5390-49af-9801-76f863957222","geometries","geometries",1,False,"geometrias","POLYGON((-9.146247 38.703678,-9.146247 38.713989,-9.133304 38.713989,-9.133304 38.703678,-9.146247 38.703678))"
"6873258e-222a-4b43-b952-c604fb8a2217","28b504f6-faba-4289-80fb-3b7642b01116",NULL,"ac241f8b-066b-49aa-bb30-309cf75d0029","9953a4bb-3c37-4fef-ba17-a2eff07825ce","0103000020E610000001000000070000001363997E894822C0957CEC2E505C43407235B22B2D4B22C02A1BD654165B43402E008DD2A54722C0245F09A4C45A4340C66AF3FFAA4322C07D7555A0165B43407077D66EBB4022C03D0FEECEDA5B43402EE57CB1F74222C0B0743E3C4B5C43401363997E894822C0957CEC2E505C4340","6873258e-222a-4b43-b952-c604fb8a2217",NULL,"ac241f8b-066b-49aa-bb30-309cf75d0029","5ffab38c-e169-45ae-963b-835e921de8ac","geometries","geometries",1,False,"geometrias","POLYGON((-9.141674 38.721197,-9.146829 38.711619,-9.139937 38.709126,-9.132164 38.711628,-9.12643 38.717615,-9.130796 38.721046,-9.141674 38.721197))"
"71f664da-27db-453c-afdf-c22eee69323b","52ffaa8a-01a6-4d03-abf9-2933ba750dce",NULL,"1fdfa8df-5cd4-42ae-85e2-037dcd30bea1","f86672bb-4168-445d-befa-fa8a566e7df7","0103000020E6100000010000000500000082902C60024F22C0C2C073EFE164434082902C60024F22C07D073F71006743403E7958A8354522C07D073F71006743403E7958A8354522C0C2C073EFE164434082902C60024F22C0C2C073EFE1644340","71f664da-27db-453c-afdf-c22eee69323b",NULL,"1fdfa8df-5cd4-42ae-85e2-037dcd30bea1","7c3d4f2c-96a9-4533-8198-6c9e64698361","geometries","geometries",1,False,"geometrias","POLYGON((-9.154315 38.788145,-9.154315 38.804701,-9.135175 38.804701,-9.135175 38.788145,-9.154315 38.788145))"
"33f02b95-9217-461a-8135-4af8b8ecddba","c5941d3a-f21c-4825-98a0-2d11292d7fbc",NULL,"7944f008-4ed9-4b0d-a130-4b64e47748b1","b634ac81-0e32-430d-8d83-552fd5ce1e0e","0103000020E610000001000000050000009B5AB6D6177122C0357A3540695843409B5AB6D6177122C092240857405943407973B8567B6022C092240857405943407973B8567B6022C0357A3540695843409B5AB6D6177122C0357A354069584340","33f02b95-9217-461a-8135-4af8b8ecddba",NULL,"7944f008-4ed9-4b0d-a130-4b64e47748b1","d6247611-7e88-4a37-af6e-c356bde0554e","geometries","geometries",1,False,"geometrias","POLYGON((-9.220885 38.690712,-9.220885 38.697276,-9.188441 38.697276,-9.188441 38.690712,-9.220885 38.690712))"
"555abc69-c1a4-4a0f-8c14-ea0b54d4cbea","28b504f6-faba-4289-80fb-3b7642b01116",NULL,"b67af516-b322-419f-b4dd-9330d0f1a49d","73f34c8a-7d70-4f86-972e-b85da6d513a5","0103000020E610000001000000070000004AD235936F4E22C055D97745F05B434027F56569A74E22C00FF27A30295A4340C8409E5DBE4522C0321F10E84C5A4340A20C5531954622C09C35785F955B4340BF9CD9AED04722C04DC0AF91245C434042CEFBFF384922C009A9DBD9575C43404AD235936F4E22C055D97745F05B4340","555abc69-c1a4-4a0f-8c14-ea0b54d4cbea",NULL,"b67af516-b322-419f-b4dd-9330d0f1a49d","5803c1a4-b4a3-49e1-9e9e-6931dcdc495c","geometries","geometries",1,False,"geometrias","POLYGON((-9.153195 38.71827,-9.153621 38.704382,-9.136218 38.705472,-9.137857 38.715496,-9.140264 38.719866,-9.143013 38.721431,-9.153195 38.71827))"
"0f46fc44-2f95-4e1b-86e2-8017827ec650","52ffaa8a-01a6-4d03-abf9-2933ba750dce",NULL,"82899aa7-1861-4094-bbe7-2fee79271e4c","ad5a8b19-8634-4d07-a701-f1e801a13a4c","0103000020E61000000100000005000000BBD39D279E6B22C043AB9333145F4340BBD39D279E6B22C0753FA7203F6143408E210038F65C22C0753FA7203F6143408E210038F65C22C043AB9333145F4340BBD39D279E6B22C043AB9333145F4340","0f46fc44-2f95-4e1b-86e2-8017827ec650",NULL,"82899aa7-1861-4094-bbe7-2fee79271e4c","e7a243aa-946c-4422-99c3-fbd3c6f8cd13","geometries","geometries",1,False,"geometrias","POLYGON((-9.210191 38.742804,-9.210191 38.759739,-9.181566 38.759739,-9.181566 38.742804,-9.210191 38.742804))"
"a5f4bdaf-be57-4ec0-9be5-dfc0cab3a99c","28b504f6-faba-4289-80fb-3b7642b01116",NULL,"e2b822df-e505-444d-bd77-398b677f3207","25e30dec-3d28-40b0-94e8-aa14014f6073","0103000020E61000000100000009000000051555BFD25922C0B5FD2B2B4D5E4340CC4065FCFB5C22C095D233BDC45C4340677BF486FB5822C0A83AE466B85B434029ED0DBE305122C0AE9FFEB3E65B4340A06B5F402F4C22C051A04FE4495C4340389ECF807A4B22C069C6A2E9EC5C4340AC72A1F2AF4D22C0698F17D2E15D4340DE3829CC7B5422C02028B7ED7B5E4340051555BFD25922C0B5FD2B2B4D5E4340","a5f4bdaf-be57-4ec0-9be5-dfc0cab3a99c",NULL,"e2b822df-e505-444d-bd77-398b677f3207","bc49a20e-d931-4b77-8536-85ca8b90ee73","geometries","geometries",1,False,"geometrias","POLYGON((-9.175436 38.73673,-9.18161 38.724754,-9.173794 38.716565,-9.158575 38.717978,-9.148798 38.721005,-9.147419 38.72598,-9.151733 38.733454,-9.165007 38.738157,-9.175436 38.73673))"
